node,label,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,clustering_coef,core_number
160,HBDIS001765,5,0.987911,0.003715318446870946,0.09217426448210735,0.0011465647487436182,0.0009323470618158016,0.0,5
161,HBDIS001767,6,3.1547119999999995,0.0002015087971184242,0.16286128608910497,0.02705250285386891,0.0017657979563546343,0.3449505217730485,5
162,HBDIS001768,5,1.137585,0.01965970201886626,0.11404776061674045,0.006947786204052503,0.0008976153909371356,0.15742578261487034,5
163,HBDIS001769,6,1.1970750000000001,0.0026196143625395146,0.09507864685218324,0.0011570297442170506,0.0011209605802442073,0.025723699762817583,5
164,HBDIS001772,5,0.794217,0.02156144129167139,0.0843436210078015,0.0014434024951198929,0.0008063877512296636,0.0,5
165,HBDIS001773,6,2.985278,0.0,0.16817997857834938,0.04447501416961904,0.0016807830055033104,0.5037735959210718,5
166,HBDIS001784,6,1.48247,0.005113285726880014,0.11209258126346142,0.0034207767824082588,0.0011777132914530333,0.0,5
167,HBDIS001787,8,1.070991,0.016964521857407336,0.08337450225448849,0.001162128972769114,0.001376223234984602,0.012176623268756742,5
168,HBDIS001792,6,0.867111,0.009622045062404756,0.0745349893714651,0.00023623006784735591,0.0011004707410640939,0.04485307062905884,5
169,HBDIS001793,8,2.191728,0.004193901840027204,0.12457259841209105,0.005340834740030204,0.0017107158574319646,0.01349883685572901,5
170,HBDIS001803,6,2.00178,0.0015868817773075905,0.14641210284392858,0.020168267998222463,0.0013584537286280745,0.2990252805976717,5
171,HBDIS001810,7,1.122967,0.0021284366695633558,0.08019943587582447,0.0006141008259885367,0.0012444206280538875,0.06208855773489764,5
172,HBDIS001815,8,1.7880250000000002,0.021032480699235526,0.12629441401811498,0.008457478969549757,0.0014836224244453987,0.07538515316741845,5
173,HBDIS001820,6,2.9636850000000003,0.0001007543985592121,0.16795324327887723,0.0442392855064224,0.001686066807873658,0.5022156462882726,5
174,HBDIS001824,6,3.9193330000000004,0.0,0.17842733682255552,0.05597731061405049,0.0020370612482066073,0.7322294922226892,5
175,HBDIS001835,5,1.4554390000000001,0.0038538557448898627,0.11353887049577606,0.0037312399088781467,0.0010617500594859203,0.0,5
176,HBDIS001837,6,2.9654279999999997,0.00028966889585773476,0.16502405991883842,0.041873017320593245,0.0016645176887455032,0.48372519814955467,5
177,HBDIS001838,6,3.6609420000000004,0.0,0.1763764249512414,0.05538032965414251,0.0019416742866461617,0.5668683187133365,5
178,HBDIS001848,5,2.2938899999999998,0.0,0.15712278929973136,0.03605866985801463,0.0013238106991085383,0.6573687698186814,5
179,HBDIS001859,6,3.100409,0.0,0.1674780286641666,0.039639119819141096,0.001764203242627942,0.4924524944928837,5
180,HBDIS001861,5,2.6993620000000003,0.0,0.16582049500886398,0.035814890124448974,0.0015128716066214161,0.6548965877247223,5
