leaf,s
MESH:C535293,6.875200000000001
MESH:C535294,9.620800000000003
MESH:C535295,12.520000000000005
MESH:C535296,4.0016
MESH:C535297,9.282419200000001
MESH:C535298,7.202880000000002
MESH:C535299,4.904
MESH:C535300,3.6892800000000006
MESH:C535301,7.007040000000002
MESH:C535302,7.007040000000002
MESH:C535303,7.007040000000002
MESH:C535305,6.090560000000001
MESH:C535306,6.500160000000001
MESH:C535307,4.610880000000001
MESH:C535308,6.840128000000001
MESH:C535309,6.840128000000001
MESH:C535310,4.5136
MESH:C535311,15.530560000000007
MESH:C535312,4.610880000000001
MESH:C535313,12.566080000000003
MESH:C535314,8.764480000000002
MESH:C535315,3.3616
MESH:C535316,11.418688000000005
MESH:C535317,7.530560000000001
MESH:C535318,12.498240000000003
MESH:C535319,7.362880000000001
MESH:C535321,4.5136
MESH:C535322,4.610880000000001
MESH:C535323,6.640704000000001
MESH:C535325,6.840128000000001
MESH:C535326,10.555200000000005
MESH:C535327,13.078080000000003
MESH:C535328,7.300160000000001
MESH:C535329,13.140800000000006
MESH:C535330,5.7232
MESH:C535331,12.673600000000004
MESH:C535332,15.214400000000005
MESH:C535334,3.6892800000000006
MESH:C535335,4.688704000000001
MESH:C535336,9.057600000000003
MESH:C535337,3.3616000000000006
MESH:C535338,7.2656
MESH:C535339,3.3616000000000006
MESH:C535340,3.3616000000000006
MESH:C535342,3.3616000000000006
MESH:C535343,3.3616000000000006
MESH:C535344,3.3616000000000006
MESH:C535345,11.598400000000003
MESH:C535346,3.3616000000000006
MESH:C535347,9.205824000000003
MESH:C535349,5.660480000000001
MESH:C535350,11.653184000000003
MESH:C535351,17.872704000000002
MESH:C535352,5.7232
MESH:C535353,10.188864
MESH:C535354,9.3328
MESH:C535355,5.348160000000001
MESH:C535356,4.923200000000001
MESH:C535357,8.02208
MESH:C535358,3.3616
MESH:C535361,3.689280000000001
MESH:C535362,6.953024000000001
MESH:C535363,4.161139200000001
MESH:C535364,4.591424
MESH:C535365,4.591424
MESH:C535366,4.591424
MESH:C535367,4.591424
MESH:C535368,4.591424
MESH:C535369,3.689280000000001
MESH:C535370,4.161139200000001
MESH:C535371,4.591424
MESH:C535372,4.591424
MESH:C535373,14.702400000000006
MESH:C535374,10.369600000000004
MESH:C535375,12.334758400000002
MESH:C535376,6.344000000000001
MESH:C535377,6.4028800000000015
MESH:C535378,6.484800000000002
MESH:C535379,6.484800000000002
MESH:C535380,8.0272
MESH:C535381,12.862784000000005
MESH:C535382,12.354880000000001
MESH:C535384,6.484800000000002
MESH:C535385,14.327360000000004
MESH:C535386,11.183219200000002
MESH:C535387,2.9520000000000004
MESH:C535388,13.456704000000007
MESH:C535390,6.465600000000002
MESH:C535391,10.844480000000004
MESH:C535392,9.467200000000002
MESH:C535393,8.299584000000003
MESH:C535395,4.923200000000001
MESH:C535396,4.923200000000001
MESH:C535397,10.722419200000003
MESH:C535399,7.007040000000002
MESH:C535400,7.007040000000002
MESH:C535401,7.007040000000002
MESH:C535402,9.099123200000003
MESH:C535406,11.188800000000004
MESH:C535407,4.610880000000001
MESH:C535408,8.979264
MESH:C535413,7.007040000000002
MESH:C535415,7.007040000000002
MESH:C535416,7.007040000000002
MESH:C535417,10.905459200000001
MESH:C535418,7.007040000000002
MESH:C535419,7.007040000000002
MESH:C535420,7.007040000000002
MESH:C535421,7.007040000000002
MESH:C535422,9.040960000000002
MESH:C535423,7.007040000000002
MESH:C535424,6.4028800000000015
MESH:C535425,5.278528000000001
MESH:C535427,6.465600000000001
MESH:C535428,3.3616000000000006
MESH:C535432,12.129600000000005
MESH:C535434,4.610880000000001
MESH:C535435,5.528384000000001
MESH:C535436,7.515200000000002
MESH:C535437,12.105280000000004
MESH:C535438,5.25088
MESH:C535440,5.953600000000002
MESH:C535441,3.5920000000000005
MESH:C535442,6.972480000000002
MESH:C535443,6.972480000000002
MESH:C535444,8.206400000000002
MESH:C535448,17.431360000000005
MESH:C535449,6.953024000000001
MESH:C535450,4.591424
MESH:C535453,4.591424
MESH:C535454,6.031424000000001
MESH:C535455,3.689280000000001
MESH:C535456,4.283200000000001
MESH:C535458,10.383680000000004
MESH:C535459,12.965184000000006
MESH:C535460,8.796224000000002
MESH:C535461,3.3616000000000006
MESH:C535463,11.095104000000003
MESH:C535464,4.9232000000000005
MESH:C535465,17.537600000000005
MESH:C535466,5.25088
MESH:C535468,12.699200000000003
MESH:C535469,6.925120000000001
MESH:C535470,9.681984000000003
MESH:C535471,6.562880000000002
MESH:C535472,9.588800000000003
MESH:C535473,9.083763200000002
MESH:C535474,4.923200000000001
MESH:C535475,4.923200000000001
MESH:C535476,4.923200000000001
MESH:C535477,7.324480000000002
MESH:C535478,4.938560000000001
MESH:C535479,4.938560000000001
MESH:C535480,8.436800000000002
MESH:C535481,7.163200000000002
MESH:C535483,5.988160000000001
MESH:C535484,6.953024000000001
MESH:C535485,4.591424
MESH:C535486,4.0016
MESH:C535487,3.689280000000001
MESH:C535488,4.591424
MESH:C535489,4.591424
MESH:C535492,14.608960000000007
MESH:C535493,6.4028800000000015
MESH:C535494,7.421760000000002
MESH:C535496,6.050880000000001
MESH:C535497,13.078080000000005
MESH:C535499,9.380160000000004
MESH:C535500,5.5130240000000015
MESH:C535501,4.923200000000001
MESH:C535502,4.923200000000001
MESH:C535503,4.923200000000001
MESH:C535504,4.923200000000001
MESH:C535505,4.923200000000001
MESH:C535506,7.996480000000002
MESH:C535507,7.849843200000002
MESH:C535508,12.649536000000003
MESH:C535509,6.81248
MESH:C535510,7.339840000000002
MESH:C535511,7.339840000000002
MESH:C535512,4.329280000000001
MESH:C535513,4.329280000000001
MESH:C535515,4.5136
MESH:C535516,14.455360000000002
MESH:C535517,16.333120000000005
MESH:C535519,5.153600000000001
MESH:C535520,9.66176
MESH:C535521,4.938560000000001
MESH:C535522,9.339200000000002
MESH:C535523,6.914880000000002
MESH:C535524,10.351424000000005
MESH:C535525,6.472102400000002
MESH:C535526,4.328911360000001
MESH:C535528,6.747200000000001
MESH:C535530,2.952
MESH:C535531,6.050880000000001
MESH:C535532,6.313024
MESH:C535534,4.104000000000001
MESH:C535535,6.984000000000002
MESH:C535536,9.576000000000002
MESH:C535537,11.695680000000005
MESH:C535538,4.392
MESH:C535539,9.411904000000002
MESH:C535540,3.3616000000000006
MESH:C535541,4.610880000000001
MESH:C535542,5.3136
MESH:C535544,19.562560000000005
MESH:C535547,4.392
MESH:C535548,6.484800000000002
MESH:C535549,8.308800000000003
MESH:C535550,3.6892800000000006
MESH:C535551,4.9232000000000005
MESH:C535552,7.792704000000002
MESH:C535553,6.050880000000001
MESH:C535554,4.9232000000000005
MESH:C535555,4.104
MESH:C535556,13.743424000000006
MESH:C535557,7.777600000000002
MESH:C535558,10.223424000000005
MESH:C535559,12.578163200000004
MESH:C535561,4.104000000000001
MESH:C535562,10.130240000000004
MESH:C535563,4.42656
MESH:C535564,4.42656
MESH:C535566,7.387200000000001
MESH:C535567,4.104000000000001
MESH:C535568,4.104000000000001
MESH:C535569,8.417600000000002
MESH:C535570,4.283200000000001
MESH:C535571,12.980800000000004
MESH:C535572,10.7984
MESH:C535573,8.0272
MESH:C535576,12.028480000000004
MESH:C535577,9.083763200000002
MESH:C535578,10.275904000000002
MESH:C535579,12.980800000000004
MESH:C535580,3.3616
MESH:C535581,11.254080000000002
MESH:C535582,9.857600000000003
MESH:C535584,3.3616
MESH:C535585,5.5130240000000015
MESH:C535586,17.604160000000007
MESH:C535588,6.690880000000002
MESH:C535589,4.5136
MESH:C535590,5.513024000000001
MESH:C535591,4.161139200000001
MESH:C535592,4.161139200000001
MESH:C535593,4.161139200000001
MESH:C535594,4.161139200000001
MESH:C535595,4.161139200000001
