leaf1,leaf2,result
MESH:C538544,MESH:D008113,0.2728710926845235
MESH:C538544,MESH:D008114,0.22611892106701106
MESH:C538544,MESH:D008171,0.10441267868241143
MESH:C538544,MESH:D008175,0.06915818881450635
MESH:C538544,MESH:D008180,0.07483885688209459
MESH:C538544,MESH:D008181,0.049322247244890094
MESH:C538544,MESH:D008207,0.21565578019699325
MESH:C538544,MESH:D008223,0.06517311608961304
MESH:C538544,MESH:D008228,0.05817887985455279
MESH:C538544,MESH:D008268,0.06274168073634333
MESH:C538544,MESH:D008288,0.07483885688209459
MESH:C538544,MESH:D008325,0.07080028061086828
MESH:C538544,MESH:D008382,0.048807708046575644
MESH:C538544,MESH:D008527,0.04568573213170339
MESH:C538544,MESH:D008545,0.05826715897020889
MESH:C538544,MESH:D008546,0.061276913735930125
MESH:C538544,MESH:D008569,0.13271124935199585
MESH:C538544,MESH:D008654,0.057908725894927335
MESH:C538544,MESH:D008659,0.10441267868241143
MESH:C538544,MESH:D008679,0.3084876644198677
MESH:C538544,MESH:D008998,0.11508103311382
MESH:C538544,MESH:D009062,0.07157274562217009
MESH:C538544,MESH:D009101,0.04133328549388253
MESH:C538544,MESH:D009103,0.05538195279073122
MESH:C538544,MESH:D009133,0.12462697890850237
MESH:C538544,MESH:D009134,0.060090762088571274
MESH:C538544,MESH:D009136,0.06635981993829346
MESH:C538544,MESH:D009202,0.08585825534978077
MESH:C538544,MESH:D009203,0.17324510665864606
MESH:C538544,MESH:D009205,0.07235726399095534
MESH:C538544,MESH:D009216,0.08585825534978077
MESH:C538544,MESH:D009298,0.1357405204076354
MESH:C538544,MESH:D009303,0.055059025952301284
MESH:C538544,MESH:D009325,0.1547641479806545
MESH:C538544,MESH:D009336,0.3084876644198677
MESH:C538544,MESH:D009361,0.24963409636438139
MESH:C538544,MESH:D009362,0.24963409636438139
MESH:C538544,MESH:D009364,0.24963409636438139
MESH:C538544,MESH:D009369,0.13070247014316444
MESH:C538544,MESH:D009374,0.10441267868241143
MESH:C538544,MESH:D009376,0.10441267868241143
MESH:C538544,MESH:D009395,0.05618655692729766
MESH:C538544,MESH:D009397,0.052720699281497405
MESH:C538544,MESH:D009410,0.3084876644198677
MESH:C538544,MESH:D009436,0.07681049118904044
MESH:C538544,MESH:D009437,0.11748508490133087
MESH:C538544,MESH:D009442,0.03920267476583037
MESH:C538544,MESH:D009447,0.044582537798100064
MESH:C538544,MESH:D009456,0.03613754854414615
MESH:C538544,MESH:D009503,0.05471839264721599
MESH:C538544,MESH:D009765,0.11529698511100511
MESH:C538544,MESH:D009837,0.04870366651517233
MESH:C538544,MESH:D010024,0.06500761808024377
MESH:C538544,MESH:D010051,0.04784654097224754
MESH:C538544,MESH:D010146,0.1536209823780809
MESH:C538544,MESH:D010149,0.20757675383136917
MESH:C538544,MESH:D010190,0.143433263689811
MESH:C538544,MESH:D010195,0.1931810745370067
MESH:C538544,MESH:D010212,0.06231363719345219
MESH:C538544,MESH:D010282,0.06700372810377406
MESH:C538544,MESH:D010300,0.04963164017060877
MESH:C538544,MESH:D010490,0.08585825534978077
MESH:C538544,MESH:D010493,0.08585825534978077
MESH:C538544,MESH:D010518,0.07235726399095534
MESH:C538544,MESH:D010523,0.08585825534978077
MESH:C538544,MESH:D010532,0.23492852703542566
MESH:C538544,MESH:D010538,0.1683874279847128
MESH:C538544,MESH:D011014,0.07483885688209459
MESH:C538544,MESH:D011085,0.09980852704447198
MESH:C538544,MESH:D011125,0.08453184619900204
MESH:C538544,MESH:D011127,0.18480465938093055
MESH:C538544,MESH:D011183,0.3084876644198677
MESH:C538544,MESH:D011225,0.05425740475812006
MESH:C538544,MESH:D011230,0.10441267868241143
MESH:C538544,MESH:D011371,0.06072426334932265
MESH:C538544,MESH:D011470,0.059420878546973824
MESH:C538544,MESH:D011471,0.050858681735905686
MESH:C538544,MESH:D011507,0.11616614021026826
MESH:C538544,MESH:D011552,0.06231363719345219
MESH:C538544,MESH:D011565,0.07235726399095534
MESH:C538544,MESH:D011605,0.06632627268591071
MESH:C538544,MESH:D011618,0.08585825534978077
MESH:C538544,MESH:D011658,0.32438985820462807
MESH:C538544,MESH:D011832,0.10441267868241143
MESH:C538544,MESH:D012130,0.08624721921168217
MESH:C538544,MESH:D012162,0.0715727456221701
MESH:C538544,MESH:D012220,0.07080028061086827
MESH:C538544,MESH:D012480,0.05471839264721599
MESH:C538544,MESH:D012509,0.07235726399095534
MESH:C538544,MESH:D012516,0.05088704467524723
MESH:C538544,MESH:D012555,0.06274168073634333
MESH:C538544,MESH:D012559,0.08585825534978077
MESH:C538544,MESH:D012640,0.1536209823780809
MESH:C538544,MESH:D012771,0.23900762914215828
MESH:C538544,MESH:D012772,0.1954834510039557
MESH:C538544,MESH:D012829,0.06507613709637418
MESH:C538544,MESH:D012852,0.0678702602038177
MESH:C538544,MESH:D012859,0.041586946319627435
MESH:C538544,MESH:D012878,0.07483885688209459
MESH:C538544,MESH:D013163,0.1547641479806545
MESH:C538544,MESH:D013203,0.06231363719345219
MESH:C538544,MESH:D013226,0.13271124935199585
MESH:C538544,MESH:D013272,0.1931810745370067
MESH:C538544,MESH:D013274,0.13217072051399723
MESH:C538544,MESH:D013345,0.1736374549819928
MESH:C538544,MESH:D013927,0.07235726399095534
MESH:C538544,MESH:D014277,0.051215364609382814
MESH:C538544,MESH:D014456,0.3084876644198677
MESH:C538544,MESH:D014511,0.06343263036176422
MESH:C538544,MESH:D014516,0.05272069928149741
MESH:C538544,MESH:D014517,0.06343263036176422
MESH:C538544,MESH:D014594,0.050858681735905686
MESH:C538544,MESH:D014605,0.08585825534978077
MESH:C538544,MESH:D014652,0.10441267868241143
MESH:C538544,MESH:D014657,0.08585825534978077
MESH:C538544,MESH:D014808,0.05471839264721599
MESH:C538544,MESH:D014813,0.053899780096383285
MESH:C538544,MESH:D014820,0.2023163430873384
MESH:C538544,MESH:D014839,0.1547641479806545
MESH:C538544,MESH:D015179,0.10527758738862235
MESH:C538544,MESH:D015210,0.04747578817226457
MESH:C538544,MESH:D015212,0.15095218682662628
MESH:C538544,MESH:D015228,0.05471839264721599
MESH:C538544,MESH:D015427,0.23261142327205275
MESH:C538544,MESH:D015428,0.1712638946068341
MESH:C538544,MESH:D015430,0.1324164790360859
MESH:C538544,MESH:D015473,0.05471839264721599
MESH:C538544,MESH:D015658,0.12903686257716873
MESH:C538544,MESH:D015663,0.05729312370614894
MESH:C538544,MESH:D015746,0.12988245216382902
MESH:C538544,MESH:D015837,0.07235726399095534
MESH:C538544,MESH:D016301,0.05874254245066544
MESH:C538544,MESH:D016410,0.04768754721667407
MESH:C538544,MESH:D016471,0.057528089887640445
MESH:C538544,MESH:D016510,0.20578778135048229
MESH:C538544,MESH:D016535,0.08585825534978077
MESH:C538544,MESH:D016657,0.04613319156988007
MESH:C538544,MESH:D016778,0.06500761808024377
MESH:C538544,MESH:D016780,0.06500761808024377
MESH:C538544,MESH:D016889,0.04693587569326672
MESH:C538544,MESH:D016891,0.045272474865818396
MESH:C538544,MESH:D016893,0.057247925259653124
MESH:C538544,MESH:D017114,0.2375707418000365
MESH:C538544,MESH:D017202,0.07936603956203496
MESH:C538544,MESH:D017379,0.12548336147268666
MESH:C538544,MESH:D017439,0.3295807217184932
MESH:C538544,MESH:D017544,0.058739172833132555
MESH:C538544,MESH:D017676,0.0673407586100703
MESH:C538544,MESH:D017827,0.07023801358117841
MESH:C538544,MESH:D018268,0.04437703141928494
MESH:C538544,MESH:D018281,0.05471839264721599
MESH:C538544,MESH:D018284,0.04943516462296032
MESH:C538544,MESH:D018357,0.04890310466690118
MESH:C538544,MESH:D018487,0.07235726399095534
MESH:C538544,MESH:D018512,0.17827737514174427
MESH:C538544,MESH:D018589,0.18343050316006074
MESH:C538544,MESH:D018754,0.08585825534978077
MESH:C538544,MESH:D018771,0.12462697890850233
MESH:C538544,MESH:D018805,0.21407333994053518
MESH:C538544,MESH:D018827,0.0715727456221701
MESH:C538544,MESH:D018856,0.05618655692729766
MESH:C538544,MESH:D018908,0.21062508377641745
MESH:C538544,MESH:D019190,0.07235726399095534
MESH:C538544,MESH:D019446,0.15159900772861196
MESH:C538544,MESH:D019636,0.10441267868241143
MESH:C538544,MESH:D019694,0.23272727272727267
MESH:C538544,MESH:D019698,0.23272727272727267
MESH:C538544,MESH:D019867,0.05474285046689977
MESH:C538544,MESH:D019970,0.08058473066764939
MESH:C538544,MESH:D020031,0.0633977216443784
MESH:C538544,MESH:D020181,0.09158803273556637
MESH:C538544,MESH:D020244,0.11859454065996719
MESH:C538544,MESH:D020257,0.18480465938093055
MESH:C538544,MESH:D020258,0.09037116729424421
MESH:C538544,MESH:D020300,0.19167717528373265
MESH:C538544,MESH:D020370,0.06012212306247064
MESH:C538544,MESH:D020388,0.05548331166016471
MESH:C538544,MESH:D020426,0.06231363719345219
MESH:C538544,MESH:D020520,0.1486536485097636
MESH:C538544,MESH:D020529,0.05035157594532134
MESH:C538544,MESH:D020734,0.0633977216443784
MESH:C538544,MESH:D020795,0.12377470460446138
MESH:C538544,MESH:D020925,0.08875406283856987
MESH:C538544,MESH:D021441,0.10104869205878911
MESH:C538544,MESH:D028361,0.08585825534978077
MESH:C538544,MESH:D043183,0.12311638345623596
MESH:C538544,MESH:D044342,0.08585825534978077
MESH:C538544,MESH:D044882,0.08585825534978077
MESH:C538544,MESH:D046729,0.11341931672738013
MESH:C538544,MESH:D047928,0.05471839264721599
MESH:C538544,MESH:D048629,0.25777275296777835
MESH:C538544,MESH:D050171,0.07235726399095534
MESH:C538544,MESH:D050197,0.06231363719345219
MESH:C538544,MESH:D050500,0.26434144102799445
MESH:C538544,MESH:D051437,0.06343263036176422
MESH:C538544,MESH:D053040,0.05934779248879501
MESH:C538544,MESH:D053201,0.10544139856299482
MESH:C538544,MESH:D053627,0.05616190423956562
MESH:C538544,MESH:D054058,0.06808108267832869
MESH:C538544,MESH:D054069,0.05874254245066544
MESH:C538544,MESH:D054144,0.07235726399095534
MESH:C538544,MESH:D054218,0.04620336297915434
MESH:C538544,MESH:D054391,0.04768754721667407
MESH:C538544,MESH:D054685,0.04768754721667407
MESH:C538544,MESH:D054990,0.28697080485349435
MESH:C538544,MESH:D055370,0.07483885688209456
MESH:C538544,MESH:D055371,0.06500761808024377
MESH:C538544,MESH:D055959,0.07235726399095534
MESH:C538544,MESH:D056486,0.266332996113093
MESH:C538544,MESH:D058065,0.055059025952301284
MESH:C538544,MESH:D058186,0.05618655692729766
MESH:C538544,MESH:D058225,0.18480465938093055
MESH:C538544,MESH:D058226,0.18480465938093055
MESH:C538544,MESH:D058426,0.3084876644198677
MESH:C538544,MESH:D058866,0.08585825534978077
MESH:C538544,MESH:D059350,0.13271124935199585
MESH:C538544,MESH:D059445,0.13271124935199585
MESH:C538544,MESH:D060085,0.10441267868241143
MESH:C538544,MESH:D061205,0.06231363719345219
MESH:C538544,MESH:D063646,0.24963409636438144
MESH:C538544,MESH:D063647,0.059498435445104525
MESH:C538544,MESH:D063766,0.10351909591052748
MESH:C538544,MESH:D064129,0.04693587569326671
MESH:C538544,MESH:D064726,0.06274168073634333
MESH:C538544,MESH:D065626,0.27586206896551724
MESH:C538544,MESH:D066126,0.21397122236848073
MESH:D000071057,MESH:D000072716,0.38401013888155466
MESH:D000071057,MESH:D000077216,0.042301464027231554
MESH:D000071057,MESH:D000077274,0.045549800324226
MESH:D000071057,MESH:D000083242,0.18756575321877655
MESH:D000071057,MESH:D000152,0.06827759108123965
MESH:D000071057,MESH:D000224,0.07233636409303261
MESH:D000071057,MESH:D000230,0.063968015992004
MESH:D000071057,MESH:D000236,0.07315539806824027
MESH:D000071057,MESH:D000326,0.19566226229391157
MESH:D000071057,MESH:D000505,0.143670608848007
MESH:D000071057,MESH:D000532,0.08542445274959956
MESH:D000071057,MESH:D000544,0.19331453886427707
MESH:D000071057,MESH:D000686,0.07315539806824027
MESH:D000071057,MESH:D000690,0.18496542128739207
MESH:D000071057,MESH:D000740,0.08542445274959956
MESH:D000071057,MESH:D000783,0.08542445274959956
MESH:D000071057,MESH:D000787,0.2838167873516432
MESH:D000071057,MESH:D000860,0.2418700348631194
MESH:D000071057,MESH:D001008,0.10213614000124556
MESH:D000071057,MESH:D001014,0.06827759108123967
MESH:D000071057,MESH:D001018,0.08542445274959956
MESH:D000071057,MESH:D001019,0.06316620607974734
MESH:D000071057,MESH:D001024,0.06481997265407403
MESH:D000071057,MESH:D001164,0.10074982393636854
MESH:D000071057,MESH:D001167,0.07315539806824027
MESH:D000071057,MESH:D001168,0.08542445274959956
MESH:D000071057,MESH:D001169,0.07315539806824027
MESH:D000071057,MESH:D001172,0.06218422075398367
MESH:D000071057,MESH:D001201,0.1751201281366791
MESH:D000071057,MESH:D001249,0.06316620607974734
MESH:D000071057,MESH:D001254,0.051203496824173356
MESH:D000071057,MESH:D001281,0.13432139710835883
MESH:D000071057,MESH:D001289,0.07315539806824027
MESH:D000071057,MESH:D001321,0.063968015992004
MESH:D000071057,MESH:D001327,0.10213614000124556
MESH:D000071057,MESH:D001523,0.12552301255230122
MESH:D000071057,MESH:D001528,0.046140536383735456
MESH:D000071057,MESH:D001650,0.06041440505970642
MESH:D000071057,MESH:D001714,0.07315539806824027
MESH:D000071057,MESH:D001724,0.2418700348631194
MESH:D000071057,MESH:D001766,0.33175216391999607
MESH:D000071057,MESH:D001859,0.07536504945831371
MESH:D000071057,MESH:D001862,0.08542445274959956
MESH:D000071057,MESH:D001929,0.25832999942847346
MESH:D000071057,MESH:D001932,0.2133383678670883
MESH:D000071057,MESH:D001943,0.0723363640930326
MESH:D000071057,MESH:D002006,0.063968015992004
MESH:D000071057,MESH:D002051,0.04348121475643726
MESH:D000071057,MESH:D002100,0.18480675255442025
MESH:D000071057,MESH:D002114,0.07315539806824027
MESH:D000071057,MESH:D002177,0.07315539806824027
MESH:D000071057,MESH:D002189,0.18144145153161223
MESH:D000071057,MESH:D002277,0.07315539806824027
MESH:D000071057,MESH:D002286,0.07233636409303261
MESH:D000071057,MESH:D002289,0.05196070471705772
MESH:D000071057,MESH:D002291,0.05981618983332468
MESH:D000071057,MESH:D002292,0.04356540483303709
MESH:D000071057,MESH:D002294,0.05981618983332468
MESH:D000071057,MESH:D002295,0.063968015992004
MESH:D000071057,MESH:D002311,0.10034245162355077
MESH:D000071057,MESH:D002318,0.12552301255230122
MESH:D000071057,MESH:D002386,0.08542445274959956
MESH:D000071057,MESH:D002528,0.17824460889631571
MESH:D000071057,MESH:D002543,0.21856167135395746
MESH:D000071057,MESH:D002544,0.17932897194750164
MESH:D000071057,MESH:D002545,0.20865727040176557
MESH:D000071057,MESH:D002583,0.04674755508663717
